"","CODE","DESCRIPTION","UNIT","PRICE","QUANTITY","COST"
"165",360135,"ULTRA SOUND ENVELOPES 11 X 22CM KHAKI ",100,3800,0,0
"166",360136,"ULTRA SOUND REQUEST FORM, HF 312(C) (BOOKLET OF 200 PAGES)",1,4550,0,0
"167",360137,"ULTRASOUND REPORT (BOOKLET OF 200 PAGES)",1,7050,0,0
"168",370725,"MATERIAL FOR THEATRE GOWN(NAVY BLUE) 50M ROLL     ",1,729000,0,0
"169",370723,"MATERIAL FOR THEATRE GOWN(SKY BLUE) 40M ROLL      ",1,583200,0,0
"170",201005,"ACICLOVIR 5% TOPICAL CREAM",1,1750,10,17500
"171",220928,"ACETYLSALICYLIC ACID 75MG SR OR TABLET (CARDIOASPIRIN)",100,6650,0,0
"172",220016,"ACICLOVIR 200MG TABLET",100,8000,4,32000
"173",220060,"BENDROFLUAZIDE 5MG TABLET",1000,25100,1,25100
"174",220571,"BISACODYL 5MG TABLETS",100,1850,1,1850
"175",220012,"CHARCOAL ACTIVATED 250MG TABLET",100,8250,0,0
"176",220140,"CHLOROQUINE 150MG BASE TABLET",1000,63400,0,0
"177",220145,"CHLORPHENAMINE MALEATE 4MG TABLET",1000,6400,9,57600
"178",220187,"CLOXACILLIN 250MG CAPSULES",100,6200,10,62000
"179",220022,"DEXAMETHASONE 0.5MG TABLETS",1000,11550,49,565950
"180",220207,"DICLOFENAC SODIUM 50MG ENTERIC COATED TABLET",100,1100,53,58300
"181",220201,"DIGOXIN 250MCG (0.25MG)TABLETS",1000,91800,0,0
"182",220266,"FOLIC ACID 5MG TABLET",1000,10650,10,106500
"183",220270,"FUROSEMIDE 40MG TABLET",1000,11450,3,34350
"184",220276,"GLIBENCLAMIDE TABLETS BP 5MG TABLET",100,2350,5,11750
"185",220289,"GRISEOFULVIN 500MG TABLET",100,22450,4,89800
"186",220302,"HALOPERIDOL TABLETS 5MG",100,18900,3,56700
"187",220320,"IBUPROFEN 200MG TABLET",1000,14900,3,44700
"188",220385,"MAGNESIUM TRISILICATE COMP 250+120MG TABLET",1000,10800,74,799200
"189",220391,"MEBENDAZOLE 100MG TABLETS",1000,29000,0,0
"190",220526,"METHYLDOPA 250MG TABLETS",100,13300,0,0
"191",220572,"METOCLOPRAMIDE 10MG TABLETS",1000,11300,19,214700
"192",220432,"NIFEDIPINE 10MG TABLET",100,11250,0,0
"193",220434,"NIFEDIPINE RETARD 20MG TABLET",100,2350,8,18800
"194",220445,"NITROFURANTOIN 100MG TABLET",1000,16450,1,16450
"195",220460,"PARACETAMOL 500MG TABLETS",1000,12850,26,334100
"196",220494,"PREDINISOLONE 5MG TABLET",1000,25200,0,0
"197",220520,"PROMETHAZINE HCL 25MG TABLET",1000,10250,9,92250
"198",220525,"PROPRANOLOL 40MG TABLET",1000,13450,1,13450
"199",220405,"PYRIDOXINE 25MG TABLETS                           ",1000,6450,2,12900
"200",220551,"QUININE SULPHATE 300MG  TABLET",1000,159700,0,0
"201",220069,"SODIUM VALPROATE 300MG TABS",100,30000,0,0
"202",215439,"AMPICILLINE/CLOXACILINE 250MG/250MG INJECTION",100,69300,1,69300
"203",215030,"ATROPINE 1MG/1ML INJ IV/IM",100,13600,0,0
"204",215055,"CHLORAMPHENICOL SODIUM SUCCINATE 1G INJECTION",50,78600,1,78600
"205",215080,"CHLORPROMAZINE HCL 50MG/2ML INJ DEEP IM",100,52950,0,0
"206",215085,"CLOXACILLIN 500MG INJ (PFR) IV/IM",50,21450,0,0
"207",215180,"FLUPHENAZINE 25MG/ML INJECTION",10,58350,0,0
"208",215355,"METOCLOPRAMIDE 10MG/2ML INJECTION",100,15300,1,15300
"209",215026,"NEOSTIGMINE 0.5MG/ML AMPOULE",10,52500,0,0
"210",215035,"PENICILLIN, BENZATHINE BENZYL 2.4MU/1.44G AMPOULE",10,7850,1,7850
"211",215022,"PROMETHAZINE INJECTION 25MG/ML 2ML AMP            ",10,2100,0,0
"212",216040,"SODIUM (RINGERS) LACTATE COMPOUND INFUSION",24,25950,1,25950
"213",215890,"VITAMIN K1 (PHYTOMENADIONE) 10MG/ML INJ IM",1,650,10,6500
"214",202044,"BETAMETHASONE+NEOMYCIN 0.1%+0.5% EYE DROPS 10ML",1,950,10,9500
"215",202021,"CHLORAMPHENICOL 0.5% EYE DROPS 10ML",1,450,10,4500
"216",203009,"CHLORAMPHENICOL 5% EAR DROPS 10ML",1,750,4,3000
"217",202020,"CHLORAMPHENICOL  0.5% EYE OINTMENT",1,1250,0,0
"218",202033,"GENTAMYCIN 0.3% EYE/EAR DROP",1,450,21,9450
"219",220179,"DICLOFENAC SODIUM SUPPOSITORIES 50MG ",5,8200,0,0
"220",220178,"PARACETAMOL 125MG SUPPOSITORIES                   ",5,5300,0,0
"221",201034,"CLOTRIMAZOLE 1% TOPICAL CREAM",1,750,50,37500
"222",302010,"BAG URINE DISPOSABLE 2L, WITH OUTLET",1,2200,5,11000
"223",302620,"CANNULA I.V, WITH INJ. PORT & STOPPER 20G, 0.9MM",100,39600,1,39600
"224",301611,"DISPOSABLE SYRINGES 20ML WITH DETACHABLE NEEDLE",100,55750,0,0
"225",308160,"SYRINGE DISPOSABLE 60ML,                          ",1,900,0,0
"226",301105,"GAUZE W.O.W HYDROPHILIC 90CM X 50M",1,35600,5,178000
"227",303030,"BLADES SCALPEL SIZE 24",100,24350,0,0
"228",302677,"CATHETER FOLEY 3 WAYS CH 14, LATEX",1,1950,0,0
"229",302718,"CATHETER FOLEY 3 WAYS CH 16, LATEX",1,3600,0,0
"230",302678,"CATHETER FOLEY 3 WAYS CH 18, LATEX",1,1950,0,0
"231",302763,"CATHETER FOLEY 3 WAYS CH 20, LATEX",1,2150,0,0
"232",302764,"CATHETER FOLEY 3 WAYS CH 22, LATEX",1,2400,0,0
"233",302765,"CATHETER FOLEY 3 WAYS CH 24, LATEX",1,2450,0,0
"234",302666,"CATHETER SUCTION FG 6 OD 2MM",1,400,0,0
"235",302673,"CATHETER SUCTION FG 14  OD 4MM",1,800,0,0
"236",302712,"CATHETER URETHRAL FOLEY, 10-30ML, FG12 2-WAY",1,1300,0,0
"237",302722,"CATHETER URETHRAL FOLEY, 10-30ML, FG22 2-WAY",1,1600,0,0
"238",302251,"NASOGASTRIC TUBE - ADULT 14",1,750,0,0
"239",302256,"NASOGASTRIC TUBE - PAED - 10",1,750,0,0
"240",302258,"NASOGASTRIC TUBE - PAED - 6",1,750,0,0
"241",302260,"NASOGASTRIC TUBE - PAED - 9",1,400,0,0
"242",302261,"NASOGASTRIC TUBE - PEAD - 4",1,750,0,0
"243",311053,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC CUFFED 5.5 MM      ",1,1850,0,0
"244",311110,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC CUFFED 6MM",1,1900,0,0
"245",311120,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC CUFFED 7MM",1,2400,0,0
"246",311130,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC CUFFED 8MM",1,1900,0,0
"247",311056,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC PLAIN 3MM    ",1,1450,0,0
"248",311070,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC PLAIN 4.5MM  ",1,1350,0,0
"249",311080,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC PLAIN 6MM",1,1450,0,0
"250",302205,"TUBE FEEDING PREMATURE DISP. FG6X 30/40CM OD 2MM",1,750,0,0
"251",302118,"GLOVES HEAVY DUTY, HOUSEHOLD 8 MEDIUM",1,10800,1,10800
"252",302069,"GYNAECOLOGICAL GLOVES S-7 1/2"", HYPOALLERGIC LATEX",1,2450,0,0
"253",351412,"ALCOHOL 95% NOT DENATURATED 20 LTR",1,228450,0,0
"254",351496,"ALCOHOL HANDSCRUB DISINFECTANT 20L JERRYCAN",1,245250,0,0
"255",207145,"HYDROGEN PEROXIDE 6% SOLUTION 200ML                   ",1,1100,5,5500
"256",207075,"POLYVIDONE-IODINE 10% SOLUTION, BOTTLE 200ML     ",1,3500,5,17500
"257",320011,"APRON PLASTIFIED LINEN HEAVY DUTY 90 X 100 CM     ",1,4450,0,0
"258",320009,"APRON PROTECTIVE DISPOSABLE 90 X 100CM (50 PIECES)",1,40200,0,0
"259",370727,"BIN LINERS(BLACK)                                 ",100,128450,0,0
"260",370712,"BIN LINERS(BROWN)                                 ",100,129750,0,0
"261",370713,"BIN LINERS(RED)                                   ",100,128350,0,0
"262",370721,"BIN LINERS(YELLOW)                                ",100,128350,0,0
"263",320040,"CAP SURGICAL HEAD & NECK DISPOSABLE NON-WOVEN     ",100,13250,0,0
"264",320060,"FACE MASKS, DISPOSABLE, 2-PLY OPERATION THEATRE   ",100,9050,1,9050
"265",301009,"NYLON MONOFILAMENT G2, SL 100CM,1/2 CIRCLE,RC,40MM",12,39750,0,0
"266",301002,"NYLON MONOFILAMENT G1, SL 100CM,1/2 CIRCLE,RC,40MM",12,39750,1,39750
"267",301005,"PGA G1  SL 90 CM,1/2 CIRCLE, TH, 40MM",12,75050,0,0
"268",404162,"SPECULUM VAGINAL (PLASTIC DISPOSABLE) - LARGE     ",1,5500,0,0
"269",404163,"SPECULUM VAGINAL (PLASTIC DISPOSABLE) - MEDIUM    ",1,5550,0,0
"270",404164,"SPECULUM VAGINAL (PLASTIC DISPOSABLE) - SMALL     ",1,5500,0,0
"271",404431,"PAP SMEAR KITS",12,194400,0,0
"272",404010,"LARYNGOSCOPE CELLS AA, PAIR",1,1450,0,0
"273",404011,"LARYNGOSCOPE CELLS AAA, PAIR",1,1300,0,0
"274",404014,"LARYNGOSCOPE DURA CELLS SIZE C, PAIR",1,18400,0,0
"275",320031,"BOOTS THEATRE WHITE, ANTISTATIC SIZE 10",1,39850,1,39850
"276",320033,"BOOTS THEATRE WHITE, ANTISTATIC SIZE 12",1,39850,0,0
"277",320028,"BOOTS THEATRE WHITE, ANTISTATIC SIZE 7",1,39850,0,0
"278",320029,"BOOTS THEATRE WHITE, ANTISTATIC SIZE 8",1,39850,0,0
"279",320030,"BOOTS THEATRE WHITE, ANTISTATIC SIZE 9",1,39850,1,39850
"280",370729,"BINS (PLASTIC)-BROWN                              ",1,285850,0,0
"281",370724,"MATERIAL FOR THEATRE GOWN(GREEN) 40M ROLLS        ",1,583200,0,0
"282",220039,"AMPICILLIN/CLOXACILLIN   250MG/250MG CAPSULES",100,10300,8,82400
"283",205007,"ERYTHROMYCIN  125MG/ML SUSPENSION",1,2300,4,9200
"284",205097,"PARACETAMOL 125MG/ML SUSPENSION",1,1400,0,0
"285",216081,"DARROWS SOLUTION (HALF STRENGTH),500ML INFUSION VIAL",24,31150,1,31150
"286",225068,"LUBRICATING JELLY 42G",1,4100,1,4100
"287",302156,"BLOOD TRANSFER BAG 300ML",1,5100,0,0
"288",311055,"TUBE ENDOTRACHEAL ORAL/NASAL PLASTIC PLAIN 2MM",1,1450,0,0
"289",304291,"SHEETING MCINTOSH RED RUBBER,20M ROLL, 90 CM WIDE",1,138600,0,0
